COMPANY_ID,cusip,TICKER,CONAME,year,MeetingDate,state,BLANKCHECK,CARVE_OUT,CBOARD,CONFVOTE,CUMVOTE,DUALCLASS,FAIRPRICE,GPARACHUTE,LABYLW,LACHTR,LSPMT,LWCNST,MAJ_VOTE_REQUIRED,MAJ_VOTE_REQUIREMENT,MAJOR_VOTE_COMM,PPILL,RESIGN_REQUIRE,CHARTER_AMEND_VOTEPCNT,FYEND,LAW_AMEND_VOTEPCNT,MTGMONTH,SPL_MEET_VOTEPCNT,SUPERMAJOR_PCNT,WRITTEN_CONSENT_VOTEPCNT,UNEQVOTE
316,1204106,GAS,AGL RESOURCES INC.,2013,20130430,Georgia,YES,,,,,,YES,YES,YES,YES,YES,UNANIMOUS,,NO,"The company has a plurality vote standard for the election of directors, and has a director resignation policy in its bylaws/charter",,BYLAWS-CHARTER,75,2012,67,4,100,51,100,
316,1204106,GAS,AGL RESOURCES INC.,2014,20140429,Georgia,YES,,,,,,YES,YES,YES,YES,YES,UNANIMOUS,,NO,"The company has a plurality vote standard for the election of directors, and has a director resignation policy in its bylaws/charter",,BYLAWS-CHARTER,75,2013,67,4,100,51,100,
316,1204106,GAS,AGL RESOURCES INC.,2015,20150428,Georgia,YES,YES,,,,,YES,YES,YES,YES,YES,UNANIMOUS,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its bylaws/charter.",,BYLAWS-CHARTER,75,2014,67,4,100,51,100,
335,00130H105,AES,THE AES CORPORATION,2013,20130418,Delaware,YES,NO,,YES,,,,YES,YES,YES,,YES,CAST,BY-LAWS,"The company has a majority vote standard (of shares cast) for director elections, but does not have a carve-out provision for plurality voting in situations where there are more nominees than board seats (contested elections).",,NO,51,2012,51,4,,51,51,
335,00130H105,AES,THE AES CORPORATION,2014,20140417,Delaware,YES,NO,,YES,,,,YES,YES,YES,,YES,CAST,BY-LAWS,"The company has a majority vote standard (of shares cast) for director elections, but does not have a carve-out provision for plurality voting in situations where there are more nominees than board seats (contested elections).",,NO,51,2013,51,4,,51,51,
335,00130H105,AES,THE AES CORPORATION,2015,20150423,Delaware,YES,NO,,YES,,,,YES,YES,YES,,YES,CAST,CHARTER,"The company has a majority vote standard (of shares cast) for director elections, but does not have a carve-out provision for plurality voting in situations where there are more nominees than board seats (contested elections).",,NO,51,2014,51,4,,51,51,
335,00130H105,AES,THE AES CORPORATION,2016,20160421,Delaware,YES,YES,,YES,,,,YES,YES,,YES,YES,CAST,CHARTER,"The company has a majority vote standard (of shares cast) for director elections, but does not have a carve-out provision for plurality voting in situations where there are more nominees than board seats (contested elections).",,NO,,2015,51,4,25,51,51,
335,00130H105,AES,THE AES CORPORATION,2017,20170420,Delaware,YES,YES,,YES,,,,YES,YES,YES,YES,YES,CAST,CHARTER,"The company has a majority vote standard (of shares cast) for director elections, but does not have a carve-out provision for plurality voting in situations where there are more nominees than board seats (contested elections).",,NO,51,2016,51,4,25,50.01,51,
335,00130H105,AES,THE AES CORP.,2018,20180419,Delaware,YES,YES,,YES,,,,YES,YES,YES,YES,YES,CAST,CHARTER,"The company has a majority vote standard (of shares cast) for director elections, but does not have a carve-out provision for plurality voting in situations where there are more nominees than board seats (contested elections).",,NO,51,2017,51,4,25,50.01,51,
133543,00206R102,T,AT&T INC.,2013,20130426,Delaware,YES,YES,,,,,,YES,YES,YES,YES,YES,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its bylaws/charter.",,BYLAWS-CHARTER,66.67,2012,0,4,15,51,66.67,
133543,00206R102,T,AT&T INC.,2014,20140425,Delaware,YES,YES,,,,,,YES,YES,YES,YES,YES,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its bylaws/charter.",,BYLAWS-CHARTER,66.67,2013,,4,15,51,66.67,
133543,00206R102,T,AT&T INC.,2015,20150424,Delaware,YES,YES,,,,,,YES,YES,YES,YES,YES,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its bylaws/charter.",,BYLAWS-CHARTER,66.67,2014,51,4,15,51,66.67,
133543,00206R102,T,AT&T INC.,2016,20160429,Delaware,YES,YES,,,,,,YES,YES,YES,YES,YES,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its bylaws/charter.",,BYLAWS-CHARTER,66.67,2015,51,4,15,51,66.67,
133543,00206R102,T,AT&T INC.,2017,20170428,Delaware,YES,YES,,,,,,YES,YES,YES,YES,YES,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its bylaws/charter.",,BYLAWS-CHARTER,66.67,2016,51,4,15,50.01,66.67,
133543,00206R102,T,"AT&T, INC.",2018,20180427,Delaware,YES,YES,,,,,,YES,YES,YES,YES,YES,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its bylaws/charter.",,BYLAWS-CHARTER,66.67,2017,51,4,15,50.01,66.67,
749,2824100,ABT,ABBOTT LABORATORIES,2013,20130426,Illinois,YES,NO,,YES,YES,,,YES,YES,YES,YES,YES,CAST,BY-LAWS,"The company has a majority vote standard (of shares cast) for director elections, but does not have a carve-out provision for plurality voting in situations where there are more nominees than board seats (contested elections).",,NO,66.67,2012,51,4,20,66.67,51,
749,2824100,ABT,ABBOTT LABORATORIES,2014,20140425,Illinois,YES,NO,,YES,YES,,,YES,YES,YES,YES,YES,CAST,BY-LAWS,"The company has a majority vote standard (of shares cast) for director elections, but does not have a carve-out provision for plurality voting in situations where there are more nominees than board seats (contested elections).",,NO,66.67,2013,,4,20,66.67,51,
749,2824100,ABT,ABBOTT LABORATORIES,2015,20150424,Illinois,YES,NO,,YES,YES,,,YES,YES,YES,YES,YES,OUTSTANDING,BY-LAWS,"The company has a majority vote standard (of shares cast) for director elections, but does not have a carve-out provision for plurality voting in situations where there are more nominees than board seats (contested elections).",,NO,66.67,2014,,4,20,66.67,51,
749,2824100,ABT,ABBOTT LABORATORIES,2016,20160429,Illinois,YES,NO,,YES,YES,,,YES,YES,YES,YES,YES,OUTSTANDING,BY-LAWS,"The company has a majority vote standard (of shares cast) for director elections, but does not have a carve-out provision for plurality voting in situations where there are more nominees than board seats (contested elections).",,NO,66.67,2015,,4,20,66.67,51,
749,2824100,ABT,ABBOTT LABORATORIES,2017,20170428,Illinois,YES,NO,,YES,YES,,,YES,YES,YES,YES,YES,OUTSTANDING,BY-LAWS,"The company has a majority vote standard (of outstanding shares) for director elections, but does not have a carve-out provision for plurality voting in situations where there are more nominees than board seats (contested elections).",,NO,66.67,2016,51,4,20,66.67,51,
749,2824100,ABT,ABBOTT LABORATORIES,2018,20180427,Illinois,YES,NO,,YES,YES,,,YES,YES,YES,YES,YES,OUTSTANDING,BY-LAWS,"The company has a majority vote standard (of outstanding shares) for director elections, but does not have a carve-out provision for plurality voting in situations where there are more nominees than board seats (contested elections).",,NO,66.67,2017,51,4,20,66.67,51,
620364,00287Y109,ABBV,ABBVIE INC.,2013,20130506,Delaware,YES,YES,YES,,,,,YES,YES,YES,,NO,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its bylaws/charter.",,BYLAWS-CHARTER,80,2012,80,5,,51,,
620364,00287Y109,ABBV,ABBVIE INC.,2014,20140509,Delaware,YES,YES,YES,,,,,YES,YES,YES,,NO,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its bylaws/charter.",,BYLAWS-CHARTER,80,2013,80,5,,51,,
620364,00287Y109,ABBV,ABBVIE INC.,2015,20150508,Delaware,YES,YES,YES,,,,,YES,YES,YES,,NO,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its bylaws/charter.",,BYLAWS-CHARTER,80,2014,80,5,,51,,
620364,00287Y109,ABBV,ABBVIE INC.,2016,20160506,Delaware,YES,YES,YES,,,,,YES,YES,YES,,NO,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its bylaws/charter.",,BYLAWS-CHARTER,80,2015,80,5,,51,,
620364,00287Y109,ABBV,ABBVIE INC.,2017,20170505,Delaware,YES,YES,YES,,,,,YES,YES,YES,,NO,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its bylaws/charter.",,BYLAWS-CHARTER,80,2016,80,5,,50.01,,
620364,00287Y109,ABBV,"ABBVIE, INC.",2018,20180504,Delaware,YES,YES,YES,,,,,YES,YES,YES,,NO,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its bylaws/charter.",,BYLAWS-CHARTER,80,2017,80,5,,50.01,,
770,2896207,ANF,ABERCROMBIE & FITCH CO.,2013,20130620,Delaware,YES,YES,,,,,,YES,YES,YES,,YES,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its governance guidelines.",YES,POLICY,75,2012,75,6,,51,51,
770,2896207,ANF,ABERCROMBIE & FITCH CO.,2014,20140619,Delaware,YES,YES,,,,,,YES,YES,YES,,YES,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its governance guidelines.",,POLICY,75,2013,75,6,,51,51,
770,2896207,ANF,ABERCROMBIE & FITCH CO.,2015,20150618,Delaware,YES,YES,,,,,,,YES,YES,,YES,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its governance guidelines.",,POLICY,75,2014,75,6,,51,51,
770,2896207,ANF,ABERCROMBIE & FITCH CO.,2016,20160616,Delaware,YES,YES,,,,,,YES,YES,YES,,YES,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its governance guidelines.",,POLICY,75,2015,75,6,,51,51,
770,2896207,ANF,ABERCROMBIE & FITCH CO.,2017,20170615,Delaware,YES,YES,,,,,,YES,YES,YES,,YES,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its governance guidelines.",,POLICY,75,2016,75,6,,50.01,51,
770,2896207,ANF,ABERCROMBIE & FITCH CO.,2018,20180614,Delaware,YES,YES,,,,,,YES,YES,YES,,NO,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its governance guidelines.",,POLICY,75,2017,75,6,,50.01,,
1203,00507V109,ATVI,"ACTIVISION BLIZZARD, INC.",2015,20150603,Delaware,YES,NO,,,,,,YES,YES,YES,,YES,CAST,BY-LAWS,"The company has a majority vote standard (of shares cast) for director elections, but does not have a carve-out provision for plurality voting in situations where there are more nominees than board seats (contested elections).",,NO,51,2014,51,6,,51,51,
1203,00507V109,ATVI,"ACTIVISION BLIZZARD, INC.",2016,20160602,Delaware,YES,YES,,,,,,YES,YES,YES,,YES,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its governance guidelines.",,POLICY,51,2015,51,6,,51,51,
1203,00507V109,ATVI,"ACTIVISION BLIZZARD, INC.",2017,20170601,Delaware,YES,YES,,,,,,YES,YES,YES,,YES,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its governance guidelines.",,POLICY,51,2016,51,6,,50.01,51,
1203,00507V109,ATVI,"ACTIVISION BLIZZARD, INC.",2018,20180626,Delaware,YES,YES,,,,,,YES,YES,YES,,YES,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its governance guidelines.",,POLICY,51,2017,51,6,,50.01,51,
530590,00508Y102,AYI,"ACUITY BRANDS, INC.",2013,20130104,Delaware,YES,,YES,,,,,YES,YES,YES,,NO,,NO,The company has a plurality vote standard for the election of directors.,,NO,80,2012,80,1,,51,,
530590,00508Y102,AYI,"ACUITY BRANDS, INC.",2014,20140107,Delaware,YES,,YES,,,,,YES,YES,YES,,NO,,NO,The company has a plurality vote standard for the election of directors.,,NO,80,2013,80,1,,51,,
530590,00508Y102,AYI,"ACUITY BRANDS, INC.",2015,20150107,Delaware,YES,,YES,,,,,YES,YES,YES,,NO,,NO,The company has a plurality vote standard for the election of directors.,,NO,80,2014,80,1,,51,,
530590,00508Y102,AYI,"ACUITY BRANDS, INC.",2016,20160106,Delaware,YES,YES,YES,,,,,YES,YES,YES,,NO,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its bylaws/charter.",,POLICY,80,2015,80,1,,51,,
530590,00508Y102,AYI,"ACUITY BRANDS, INC.",2017,20170106,Delaware,YES,YES,YES,,,,,YES,YES,YES,,NO,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its bylaws/charter.",,POLICY,80,2016,80,1,,50.01,,
530590,00508Y102,AYI,"ACUITY BRANDS, INC.",2018,20180105,Delaware,YES,YES,YES,,,,,YES,YES,YES,,NO,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its bylaws/charter.",,POLICY,80,2017,80,1,,50.01,,
1592,00724F101,ADBE,ADOBE SYSTEMS INCORPORATED,2013,20130411,Delaware,YES,YES,,,,,,YES,YES,YES,YES,NO,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its bylaws/charter.",,BYLAWS-CHARTER,51,2012,51,4,10,51,,
1592,00724F101,ADBE,ADOBE SYSTEMS INCORPORATED,2014,20140410,Delaware,YES,YES,,,,,,YES,YES,YES,YES,NO,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its bylaws/charter.",,BYLAWS-CHARTER,51,2013,51,4,10,51,,
1592,00724F101,ADBE,ADOBE SYSTEMS INCORPORATED,2015,20150409,Delaware,YES,YES,,,,,,YES,YES,YES,YES,NO,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its bylaws/charter.",,BYLAWS-CHARTER,51,2014,51,4,10,51,,
1592,00724F101,ADBE,ADOBE SYSTEMS INCORPORATED,2016,20160413,Delaware,YES,YES,,,,,,YES,YES,YES,YES,NO,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its bylaws/charter.",,BYLAWS-CHARTER,51,2015,51,4,10,51,,
1592,00724F101,ADBE,ADOBE SYSTEMS INCORPORATED,2017,20170412,Delaware,YES,YES,,,,,,YES,YES,YES,YES,NO,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its bylaws/charter.",,BYLAWS-CHARTER,51,2016,51,4,10,50.01,,
1592,00724F101,ADBE,"ADOBE, INC.",2018,20180412,Delaware,YES,YES,,,,,,YES,YES,YES,YES,NO,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its bylaws/charter.",,BYLAWS-CHARTER,51,2017,51,4,10,50.01,,
531421,00751Y106,AAP,"ADVANCE AUTO PARTS, INC.",2013,20130522,Delaware,YES,YES,,YES,,,,YES,YES,YES,,NO,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its governance guidelines.",,POLICY,66.67,2012,0,5,,51,,
531421,00751Y106,AAP,"ADVANCE AUTO PARTS, INC.",2014,20140514,Delaware,YES,YES,,YES,,,,YES,YES,YES,YES,NO,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its governance guidelines.",,POLICY,51,2013,,5,25,51,,
531421,00751Y106,AAP,"ADVANCE AUTO PARTS, INC.",2015,20150520,Delaware,YES,YES,,YES,,,,YES,YES,YES,YES,NO,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its governance guidelines.",,POLICY,51,2014,,5,25,51,,
531421,00751Y106,AAP,"ADVANCE AUTO PARTS, INC.",2016,20160518,Delaware,YES,YES,,YES,,,,YES,YES,YES,YES,NO,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its governance guidelines.",,POLICY,51,2015,,5,25,51,,
531421,00751Y106,AAP,"ADVANCE AUTO PARTS, INC.",2017,20170517,Delaware,YES,YES,,YES,,,,YES,YES,YES,YES,NO,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its governance guidelines.",,POLICY,51,2016,51,5,10,50.01,,
531421,00751Y106,AAP,"ADVANCE AUTO PARTS, INC.",2018,20180516,Delaware,YES,YES,,YES,,,,YES,YES,YES,YES,NO,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its governance guidelines.",,POLICY,51,2017,51,5,10,50.01,,
1888,7903107,AMD,"ADVANCED MICRO DEVICES, INC.",2013,20130712,Delaware,YES,YES,,YES,,,,YES,YES,YES,,YES,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its bylaws/charter.",,BYLAWS-CHARTER,51,2012,0,7,,51,51,
1888,7903107,AMD,"ADVANCED MICRO DEVICES, INC.",2014,20140508,Delaware,YES,YES,,YES,,,,YES,YES,YES,,YES,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its bylaws/charter.",,BYLAWS-CHARTER,51,2013,,5,,51,51,
1888,7903107,AMD,"ADVANCED MICRO DEVICES, INC.",2015,20150429,Delaware,YES,YES,,YES,,,,YES,YES,YES,,YES,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its bylaws/charter.",,BYLAWS-CHARTER,51,2014,,4,,51,51,
1888,7903107,AMD,"ADVANCED MICRO DEVICES, INC.",2016,20160512,Delaware,YES,YES,,YES,,,,YES,YES,YES,,YES,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its bylaws/charter.",,BYLAWS-CHARTER,51,2015,,5,,51,51,
1888,7903107,AMD,"ADVANCED MICRO DEVICES, INC.",2017,20170426,Delaware,YES,YES,,YES,,,,YES,YES,YES,,YES,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its bylaws/charter.",,BYLAWS-CHARTER,51,2016,51,4,,50.01,51,
1888,7903107,AMD,"ADVANCED MICRO DEVICES, INC.",2018,20180502,Delaware,YES,YES,,YES,,,,YES,YES,YES,,YES,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its bylaws/charter.",,BYLAWS-CHARTER,51,2017,51,5,,50.01,51,
1992,00817Y108,AET,AETNA INC.,2013,20130517,Pennsylvania,YES,YES,,YES,,,,YES,YES,YES,YES,NO,CAST,CHARTER,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its governance guidelines.",,POLICY,66.67,2012,67,5,66.67,51,,
1992,00817Y108,AET,AETNA INC.,2014,20140530,Pennsylvania,YES,YES,,YES,,,,YES,YES,YES,YES,NO,CAST,CHARTER,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its governance guidelines.",,POLICY,66.67,2013,67,5,66.67,51,,
1992,00817Y108,AET,AETNA INC.,2015,20150515,Pennsylvania,YES,YES,,YES,,,,YES,YES,YES,YES,NO,CAST,CHARTER,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its governance guidelines.",,POLICY,51,2014,51,5,25,51,,
1992,00817Y108,AET,AETNA INC.,2016,20160520,Pennsylvania,YES,YES,,YES,,,,YES,YES,YES,YES,NO,CAST,CHARTER,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its governance guidelines.",,POLICY,51,2015,51,5,25,51,,
1992,00817Y108,AET,AETNA INC.,2017,20170519,Pennsylvania,YES,YES,,YES,,,,YES,YES,YES,YES,NO,CAST,CHARTER,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its governance guidelines.",,POLICY,51,2016,51,5,25,50.01,,
1992,00817Y108,AET,AETNA INC.,2018,20170519,Pennsylvania,YES,YES,,YES,,,,YES,YES,YES,YES,NO,CAST,CHARTER,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its governance guidelines.",,POLICY,51,2016,51,5,25,50.01,,
500189,8252108,AMG,"AFFILIATED MANAGERS GROUP, INC.",2013,20130611,Delaware,YES,,,,,,,,YES,YES,,NO,,NO,"The company has a plurality vote standard for the election of directors, and has a director resignation policy in its governance guidelines",,POLICY,80,2012,67,6,,51,,
500189,8252108,AMG,"AFFILIATED MANAGERS GROUP, INC.",2014,20140616,Delaware,YES,YES,,,,,,,YES,YES,,NO,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its governance guidelines.",,POLICY,80,2013,67,6,,51,,
500189,8252108,AMG,"AFFILIATED MANAGERS GROUP, INC.",2015,20150615,Delaware,YES,YES,,,,,,,YES,YES,,NO,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its governance guidelines.",,POLICY,80,2014,67,6,,51,,
500189,8252108,AMG,"AFFILIATED MANAGERS GROUP, INC.",2016,20160614,Delaware,YES,YES,,,,,,,YES,YES,,NO,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its governance guidelines.",,POLICY,80,2015,67,6,,51,,
500189,8252108,AMG,"AFFILIATED MANAGERS GROUP, INC.",2017,20170613,Delaware,YES,YES,,,,,,,YES,YES,,NO,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its governance guidelines.",,POLICY,80,2016,67,6,,50.01,,
500189,8252108,AMG,"AFFILIATED MANAGERS GROUP, INC.",2018,20180612,Delaware,YES,YES,,,,,,,YES,YES,,NO,CAST,BY-LAWS,"The company has adopted a majority vote standard (of shares cast) for the election of directors with a plurality carve-out for contested elections, and has a director resignation policy in its governance guidelines.",,POLICY,80,2017,67,6,,50.01,,
